,NAME,Proportion_of_married-couple_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Proportion_of_female-householder_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher
164,19966,0.24364406779661016,0.062034739454094295,0.030421555845284658,0.0010126582278481013,0.29015544041450775,0.108,0.2739273927392739,0.0
165,19136,0.28550512445095166,0.07126948775055679,0.05632502308402586,0.04980237154150197,0.1981981981981982,0.2808145766345123,0.181169757489301,0.16071428571428573
166,19081,0.0,0.0,0.0,0.017164179104477612,0.0,0.0,0.0,0.0
169,19141,0.40711462450592883,0.18813131313131312,0.03771551724137931,0.0,0.39148936170212767,0.4529109589041096,0.1650943396226415,0.32162921348314605
170,19145,0.06884057971014493,0.10052083333333334,0.14981949458483754,0.015028901734104046,0.5382775119617225,0.3727111636148848,0.13970588235294118,0.17142857142857143
172,19446,0.020202020202020204,0.02661771454795778,0.030504497457958545,0.007878293941863623,0.0,0.17150395778364116,0.14814814814814814,0.012087912087912088
173,19465,0.20952380952380953,0.052132701421800945,0.0,0.014091595369904378,0.4803921568627451,0.17258883248730963,0.2875,0.037209302325581395
175,19702,0.2568218298555377,0.012543903662819869,0.003789473684210526,0.014780405405405405,0.10344827586206896,0.1484848484848485,0.17093142272262027,0.06951219512195123
176,19703,0.0,0.06896551724137931,0.09216589861751152,0.012264150943396227,0.35443037974683544,0.1455223880597015,0.27872340425531916,0.0
177,19609,0.0,0.0,0.0,0.009370816599732263,0.0,0.09,0.0,0.08148148148148149
179,19462,0.0,0.04914933837429111,0.04985337243401759,0.003669724770642202,0.632183908045977,0.06306306306306306,0.06315789473684211,0.0
180,19464,0.07258064516129033,0.04662864810466286,0.031222123104371096,0.011478260869565217,0.39473684210526316,0.3210922787193974,0.2668067226890756,0.08592321755027423
181,19711,0.028925619834710745,0.027953110910730387,0.0646830530401035,0.02914911541701769,0.16923076923076924,0.20754716981132076,0.16079295154185022,0.0
182,19720,0.11887254901960784,0.08367540258920114,0.04746494066882417,0.0033419977720014855,0.1984732824427481,0.20181968569065342,0.19843342036553524,0.04145936981757877
183,19002,0.02586206896551724,0.025806451612903226,0.014014014014014014,0.02034457478005865,0.0,0.29605263157894735,0.021806853582554516,0.07306889352818371
185,19506,0.018633540372670808,0.006359300476947536,0.01090909090909091,0.004098360655737705,0.3448275862068966,0.05263157894736842,0.046511627906976744,0.0
187,19522,0.0,0.052941176470588235,0.02526315789473684,0.00576036866359447,0.0,0.35714285714285715,0.3157894736842105,0.0
188,19526,0.11585365853658537,0.021788990825688075,0.0,0.01020408163265306,0.3697916666666667,0.15705128205128205,0.0,0.17073170731707318
189,19551,0.08737864077669903,0.020833333333333332,0.0,0.0,0.375,0.0,0.08139534883720931,0.0
190,19604,0.2809099901088032,0.18947368421052632,0.056363636363636366,0.07407407407407407,0.5732394366197183,0.31586021505376344,0.2678260869565217,0.2664233576642336
191,19147,0.2398989898989899,0.08129032258064516,0.037300177619893425,0.012785388127853882,0.5477386934673367,0.3549107142857143,0.1946564885496183,0.0
